Time__CET_CEST_,Day_ahead_Total_Load_Forecast__MW____BZN_NL,Actual_Total_Load__MW____BZN_NL
02.01.2024 21:45 - 02.01.2024 22:00,12998.0,14011.0
02.01.2024 22:00 - 02.01.2024 22:15,12729.0,13728.0
02.01.2024 22:15 - 02.01.2024 22:30,12499.0,13538.0
02.01.2024 22:30 - 02.01.2024 22:45,12373.0,13347.0
02.01.2024 22:45 - 02.01.2024 23:00,12144.0,13150.0
02.01.2024 23:00 - 02.01.2024 23:15,12012.0,12883.0
02.01.2024 23:15 - 02.01.2024 23:30,11885.0,12689.0
02.01.2024 23:30 - 02.01.2024 23:45,11772.0,12525.0
02.01.2024 23:45 - 03.01.2024 00:00,11593.0,12404.0
03.01.2024 00:00 - 03.01.2024 00:15,11403.0,12305.0
03.01.2024 00:15 - 03.01.2024 00:30,11494.0,12042.0
03.01.2024 00:30 - 03.01.2024 00:45,11366.0,12000.0
03.01.2024 00:45 - 03.01.2024 01:00,11220.0,11936.0
03.01.2024 01:00 - 03.01.2024 01:15,11079.0,11658.0
03.01.2024 01:15 - 03.01.2024 01:30,10966.0,11587.0
03.01.2024 01:30 - 03.01.2024 01:45,10876.0,11586.0
03.01.2024 01:45 - 03.01.2024 02:00,10752.0,11561.0
03.01.2024 02:00 - 03.01.2024 02:15,10648.0,11439.0
03.01.2024 02:15 - 03.01.2024 02:30,10598.0,11387.0
03.01.2024 02:30 - 03.01.2024 02:45,10572.0,11394.0
03.01.2024 02:45 - 03.01.2024 03:00,10499.0,11380.0
03.01.2024 03:00 - 03.01.2024 03:15,10427.0,11420.0
03.01.2024 03:15 - 03.01.2024 03:30,10420.0,11450.0
03.01.2024 03:30 - 03.01.2024 03:45,10389.0,11363.0
03.01.2024 03:45 - 03.01.2024 04:00,10341.0,11299.0
03.01.2024 04:00 - 03.01.2024 04:15,10326.0,11309.0
03.01.2024 04:15 - 03.01.2024 04:30,10343.0,11310.0
03.01.2024 04:30 - 03.01.2024 04:45,10321.0,11362.0
03.01.2024 04:45 - 03.01.2024 05:00,10322.0,11405.0
03.01.2024 05:00 - 03.01.2024 05:15,10358.0,11562.0
03.01.2024 05:15 - 03.01.2024 05:30,10447.0,11698.0
03.01.2024 05:30 - 03.01.2024 05:45,10533.0,11832.0
03.01.2024 05:45 - 03.01.2024 06:00,10662.0,11962.0
03.01.2024 06:00 - 03.01.2024 06:15,10865.0,12397.0
03.01.2024 06:15 - 03.01.2024 06:30,11188.0,12724.0
03.01.2024 06:30 - 03.01.2024 06:45,11408.0,12984.0
03.01.2024 06:45 - 03.01.2024 07:00,11602.0,13271.0
03.01.2024 07:00 - 03.01.2024 07:15,11847.0,13705.0
03.01.2024 07:15 - 03.01.2024 07:30,12251.0,14076.0
03.01.2024 07:30 - 03.01.2024 07:45,12626.0,14441.0
03.01.2024 07:45 - 03.01.2024 08:00,12987.0,14728.0
03.01.2024 08:00 - 03.01.2024 08:15,13328.0,15197.0
03.01.2024 08:15 - 03.01.2024 08:30,13660.0,15419.0
03.01.2024 08:30 - 03.01.2024 08:45,13882.0,15641.0
03.01.2024 08:45 - 03.01.2024 09:00,14043.0,15819.0
03.01.2024 09:00 - 03.01.2024 09:15,14086.0,15934.0
03.01.2024 09:15 - 03.01.2024 09:30,14169.0,16117.0
03.01.2024 09:30 - 03.01.2024 09:45,14169.0,16140.0
03.01.2024 09:45 - 03.01.2024 10:00,14146.0,16142.0
03.01.2024 10:00 - 03.01.2024 10:15,14119.0,16115.0
03.01.2024 10:15 - 03.01.2024 10:30,14085.0,16091.0
03.01.2024 10:30 - 03.01.2024 10:45,14018.0,16009.0
